Algorithm,Raw/Average,Epsilon,User Privacy,Max Trips,Number of Runs,n_records,n_trips,n_complete_trips,n_incomplete_trips,n_users,n_locations,uid,tid,datetime,lat,lng,visits_per_tile,visits_per_tile_quartiles,visits_per_tile_outliers,visits_per_tile_ranking,od_flows,od_flows_ranking,od_flows_quartiles,jump_length,jump_length_quartiles,trips_per_user,trips_per_user_quartiles,radius_of_gyration,radius_of_gyration_quartiles,user_tile_count,user_tile_count_quartiles,mobility_entropy,mobility_entropy_quartiles,trips_over_time,trips_per_weekday,trips_per_hour,visits_per_time_tile,travel_time,travel_time_quartiles,user_time_delta,user_time_delta_quartiles
DPSTAR,RAW,50,False,None,10,1.570813808931816,1.570813808931816,1.570813808931816,0.0,0.0166204986149584,1.723993178538633,0.0,0.0,0.0,0.0,0.0,9928.7275390625,1.027125155617172,1.0115570498003783,"[0.1272727272727273, 0.06509803921568628, 0.036039603960396044]",0.8309690387472269,"[0.24444444444444444, 0.12653061224489798, 0.021010101010101014]",0.8519652196860927,0.5827166192267101,1.7579059877665622,144.4894100313094,1.0194965897846986,0.2831910087864898,1.3231833294649702,0.1669022159794143,0.6608046976571985,0.6867695793608374,0.2319128242854734,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.5472379233363416,1.5472379233363416,1.5472379233363416,0.0,0.0166204986149584,1.7135681021401288,0.0,0.0,0.0,0.0,0.0,9737.4677734375,1.025447932640523,0.9195355469545732,"[0.018181818181818184, -0.11686274509803923, -0.07287128712871288]",0.831048352216079,"[0.19999999999999998, -0.13959183673469389, -0.1284848484848485]",0.8492569355573214,0.5886505014979698,1.760494687036477,134.83577874639323,0.9769202158643158,0.2857058030606779,1.316696710996658,0.1580281038672508,0.6208834788987462,0.6867695793608374,0.2321934001837242,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.5293005671077504,1.5293005671077504,1.5293005671077504,0.0,0.0166204986149584,1.706682683519181,0.0,0.0,0.0,0.0,0.0,9557.6015625,1.0239308407128016,0.8618210862619808,"[-0.05454545454545454, -0.1294117647058824, -0.047128712871287136]",0.8301055047529778,"[0.1111111111111111, -0.09224489795918367, 0.029090909090909094]",0.847353431097899,0.5876331604879579,1.3610540897876406,144.16818098103008,0.9652315158467734,0.2761207582091424,1.3276761296194528,0.2326255854824374,0.82234282444053,0.693980172284171,0.2320406777315249,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.4791521080829255,1.4791521080829255,1.4791521080829255,0.0,0.0166204986149584,1.684934707546925,0.0,0.0,0.0,0.0,0.0,9292.869140625,1.033906059919118,0.7678640401699498,"[-0.1272727272727273, 0.2062745098039216, 0.17029702970297034]",0.8300589867882434,"[0.24444444444444444, 0.04816326530612245, 0.05818181818181819]",0.8308541225306711,0.5861778046049454,1.7607447462461423,136.32181226594628,0.940940152694254,0.28251013748013,1.294203492733217,0.1703500899444655,0.6662358861011676,0.6888606486296784,0.2320495434869948,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.5223092161116876,1.5223092161116876,1.5223092161116876,0.0,0.0166204986149584,1.6924117478733645,0.0,0.0,0.0,0.0,0.0,9977.791015625,1.0246595038239392,0.7981257321358844,"[0.0909090909090909, -0.17019607843137258, 0.014653465346534656]",0.8315296985910023,"[0.37777777777777777, -0.11836734693877553, -0.12484848484848488]",0.8475065815802623,0.5928134219276189,1.75821475598699,133.02292958438204,1.016497865442016,0.2765916091916379,1.3002753328843215,0.1687859382232557,0.5754276648908856,0.6849003219364754,0.2322211136999152,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.62559471793378,1.62559471793378,1.62559471793378,0.0,0.0166204986149584,1.7483824966329522,0.0,0.0,0.0,0.0,0.0,9368.2265625,1.014931429216547,1.061085006407518,"[0.23636363636363636, 0.09647058823529414, -0.005940594059405942]",0.8314675077841622,"[0.06666666666666667, 0.0563265306122449, -0.030707070707070714]",0.8730331914338443,0.580996391533865,1.7582070647630013,144.81063908158873,1.0413815202894527,0.2870711329333435,1.3130105918880886,0.2081071894143067,0.55095478253373,0.7081574256932207,0.6327375289029579,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.611043953387167,1.611043953387167,1.611043953387167,0.0,0.0166204986149584,1.743735823178773,0.0,0.0,0.0,0.0,0.0,9749.953125,1.0122995178714156,1.0689507494646682,"[-0.38181818181818183, 0.013333333333333336, 0.043564356435643575]",0.8315281609934977,"[-0.06666666666666667, -0.08081632653061226, -0.06585858585858587]",0.8675869861197034,0.5872350392842393,1.7588245015195323,146.29108600896302,1.111401741014479,0.2828067721309976,1.333579644792785,0.143697040911051,0.6069015951368892,0.6912332509382075,0.232593127188441,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.636717798879961,1.636717798879961,1.636717798879961,0.0,0.0166204986149584,1.7579095072939557,0.0,0.0,0.0,0.0,0.0,9823.103515625,1.014271730079375,1.1596119929453264,"[-0.05454545454545454, -0.06509803921568628, -0.016237623762376238]",0.8320277225387862,"[0.15555555555555553, 0.13142857142857142, 0.06303030303030303]",0.8709738157691496,0.5906583560698648,1.75984148107204,147.09555528270602,1.0944230244935411,0.2828067721309976,1.323347903650867,0.1704762259408084,0.6016025014657025,0.6912332509382075,0.2321426776292524,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.6045950381310938,1.6045950381310938,1.6045950381310938,0.0,0.0166204986149584,1.7402830114100505,0.0,0.0,0.0,0.0,0.0,9768.8681640625,1.0118847366033572,1.0403054730589734,"[0.3090909090909091, -0.033725490196078435, -0.05227722772277229]",0.8315791924238177,"[0.1111111111111111, 0.04816326530612245, -0.033131313131313136]",0.867064644832162,0.5893822002487568,1.761072346603561,143.79108600896302,1.0432177653843009,0.2695164146596652,1.3163366444537568,0.1309719945508613,0.5699131549804745,0.6867695793608374,0.2325039769551413,None,None,None,None,None,None,None,None
DPSTAR,RAW,50,False,None,10,1.5726929148925992,1.5726929148925992,1.5726929148925992,0.0,0.0166204986149584,1.7243840361050615,0.0,0.0,0.0,0.0,0.0,9834.8076171875,1.0076814988079297,0.9660596026490066,"[0.2, 0.06980392156862746, 0.0035643564356435654]",0.8318958155138816,"[-0.06666666666666667, -0.1689795918367347, -0.02868686868686869]",0.856690922602517,0.588624084250361,1.756293966774367,144.20449383019206,0.9873627358561804,0.2802606195301335,1.3143984127703825,0.1943837668869415,0.6285679746895217,0.6972629303586972,0.2319188790094403,None,None,None,None,None,None,None,None
DP,RAW,50,False,None,10,0.0001071294659596,0.0001071294659596,0.0001071294659596,0.0,0.0054794520547945,2.818131860389748e-05,0.0,0.0,2.0,0.0,0.0,66.46401977539062,0.250378010118878,0.0,"[1.0, 0.9011764705882355, 0.6887128712871289]",0.6828542140580622,"[0.9999999999999999, 0.8089795918367346, 0.6517171717171718]",0.6637640000896154,0.0007371654153656,0.0120245476141921,38.38186813186805,0.3282953449930785,0.1050759225437392,0.1548726513389255,0.0578804668197181,0.0129032258064516,0.065400717542254,0.0185109941875202,0.013527216996075495,0.0,0.0006216512627732532,1713.6116790771484,0.0015908062843626354,0.08066892071774913,None,1.1996544304153791
DP,RAW,50,False,None,10,2.6780573372075897e-05,5.356042955464503e-05,0.0,2.0,0.0163487738419618,5.6360254748351465e-05,0.0,2.0,0.0,0.0,0.0,78.920166015625,0.2506828317017039,0.0002791346824842,"[1.0, 0.8854901960784316, 0.6526732673267328]",0.6828646079151036,"[0.9999999999999999, 0.7730612244897959, 0.680808080808081]",0.6636362550026247,0.0009946679376961,0.1456650437316212,34.165118386767844,0.4338275937911398,0.1065552839828497,0.0937893628446686,0.169661223888637,0.6281307507787046,0.0585586224826747,0.026125788456237,0.012473450948644386,6.257202398123461e-05,0.0007112798589512694,1716.8107325236003,0.0016692393717314235,0.08063775223491633,0.4360917003138449,0.9860892661436154
DP,RAW,50,False,None,10,0.0002142704092564,0.0002142704092564,0.0002142704092564,0.0,0.0217391304347826,2.818131860389748e-05,0.0,0.0,0.0,0.0,2.0,75.65365600585938,0.2505618496291709,0.0,"[1.0, 0.9027450980392158, 0.6031683168316833]",0.683181934502535,"[0.9999999999999999, 0.7746938775510204, 0.5296969696969698]",0.6640500170794611,0.0006680237585036,0.4194772251995105,33.92962094085683,0.2670914346831903,0.1175158450702156,0.633064543133597,0.0990123575076601,0.6046013390139988,0.0614287896527132,0.0054064175069547,0.013762091244081474,5.0932744341690484e-05,0.0006392129988800275,1654.6814727783203,0.0011828291920833523,0.08051447007419775,0.520321683938367,1.3453064072232246
DP,RAW,50,False,None,10,0.000160672682966,0.000160672682966,0.000160672682966,0.0,0.0,2.818052443955982e-05,0.0,2.0,2.0,0.0,0.0,64.64550018310547,0.2506516213428023,0.0005580357142857,"[1.0, 0.9011764705882355, 0.6526732673267328]",0.6832585838558999,"[0.9999999999999999, 0.5967346938775511, 0.6020202020202021]",0.6642650079859406,0.0005211682134323,0.4255696591453959,36.11758241758234,0.3341588196458612,0.1136897193119382,0.0744146039935399,0.1300171231357325,0.5359804946011842,0.0797822018671732,0.0013976268598137,0.014163590483549949,6.889260133926959e-05,0.0007837437948865963,1785.9120814005535,0.0018390982142434966,0.08011850254677107,0.6606086276659562,1.0363224989363118
DP,RAW,50,False,None,10,5.356042955464503e-05,0.000160672682966,5.356329842791719e-05,2.0,0.0055096418732782,0.0001690712353471,0.0,0.0,2.0,0.0,0.0,70.56594848632812,0.2505998927864928,0.0002791346824842,"[1.0, 0.8305882352941177, 0.6780198019801982]",0.6828480348112567,"[0.9999999999999999, 0.8073469387755102, 0.6121212121212122]",0.6635974242684849,0.0008481538460832,0.0123080463125736,76.97750686813185,0.0491025145583199,0.0787150181123038,0.1800104141065376,0.0723009775014072,0.1729032258064516,0.0524331910473719,0.0042595759381563,0.05447116080243104,9.498811243279142e-05,0.0006377458625565784,1677.992022196452,0.0012248451913828766,0.00012763746707549192,0.6425626967123881,1.1929614342847659
DP,RAW,50,False,None,10,0.0001071294659596,0.0001071294659596,0.0001071294659596,0.0,0.0055096418732782,2.818052443955982e-05,2.0,0.0,0.0,0.0,2.0,76.22756958007812,0.2505550998159339,0.0,"[1.0, 1.0, 0.6312871287128714]",0.6828435923174728,"[0.9999999999999999, 0.5461224489795918, 0.46222222222222237]",0.6637758335704175,0.0005921049787486,0.4201255922561135,31.203296703296665,0.2863229022249105,0.1251988236548214,0.2809334559606332,0.0980134099895759,0.4129032258064516,0.0422029550785898,0.0095488222696125,0.05603399313224408,7.264312714473387e-05,0.0008598147041394047,1610.922996520996,0.0013102093587720478,0.08128373390400684,0.612715889330611,1.109470794425529
